Query name,Query description,Query SQL
Investigate who called an API,Find all principal IDs who called a particular API on a particular day.,"SELECT userIdentity.arn AS user, eventName FROM $EDS_ID WHERE userIdentity.arn IS NOT NULL AND eventName='CreateBucket' AND eventTime > '2024-06-25 00:00:00' AND eventTime < '2024-06-26 00:00:00'"
Investigate user actions,Find all the APIs that a particular user called in a specified date range.,"SELECT eventID, eventName, eventSource, eventTime, userIdentity.arn AS user FROM $EDS_ID WHERE userIdentity.arn LIKE '%<username>%' AND eventTime > '2024-06-25 00:00:00' AND eventTime < '2024-06-28 00:00:00'"
Top APIs aggregated by source,Find the number of API calls grouped by event name and event source within the past week,"SELECT eventSource, eventName, COUNT(*) AS apiCount FROM $EDS_ID WHERE eventTime > '2024-06-25 00:00:00' GROUP BY eventSource, eventName ORDER BY apiCount DESC"
Multi-region console logins,Find all users who logged into the console from a set of regions within the past week.,"SELECT eventTime, userIdentity.arn AS user, awsRegion FROM $EDS_ID WHERE awsRegion in ('us-east-1', 'us-west-2') AND eventName = 'ConsoleLogin' AND eventTime > '2024-06-25 00:00:00'"
Explore queries,Find all the CloudTrail queries that were ran within the past week.,"SELECT element_at(responseElements, 'queryId'), element_at(requestParameters, 'queryStatement') FROM $EDS_ID WHERE eventName='StartQuery' AND eventSource = 'cloudtrail.amazonaws.com' AND responseElements IS NOT NULL AND eventTime > '2024-06-25 00:00:00'"
Find most frequent console users,Find users who signed in to the console the most within the past week.,"SELECT userIdentity.arn, COUNT(*) AS loginCount FROM $EDS_ID WHERE eventName = 'ConsoleLogin' AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn ORDER BY count(*) DESC"
List specific calls,Find all PutObject calls for a particular S3 bucket within the past week.,"SELECT requestParameters FROM $EDS_ID WHERE userIdentity.arn IS NOT NULL AND eventName='PutObject' AND element_at(requestParameters, 'bucketName') = 'bucketnamehere' AND eventTime > '2024-06-25 00:00:00'"
Filter array of structures,Filter out resources by matching ARN values within the past week.,"SELECT resources FROM $EDS_ID WHERE element_at(resources, 1).arn LIKE '%<resource ARN>%' AND eventTime > '2024-06-25 00:00:00'"
Rank the number of stored events per day,Query the event data store over the past month to rank the number of events ingested each day.,"SELECT date_trunc('day', eventtime), COUNT(*) AS eventCount FROM $EDS_ID WHERE eventTime > '2024-06-02 00:00:00' GROUP BY date_trunc('day', eventtime) ORDER BY count(*) DESC"
Count calls per service that were made using outdated TLS versions,Find the number of calls per service that used the outdated Transport Layer Security (TLS) versions 1.0 and 1.1 within the past week.,"SELECT eventSource, COUNT(*) AS numOutdatedTlsCalls FROM $EDS_ID WHERE tlsDetails.tlsVersion IN ('TLSv1', 'TLSv1.1') AND eventTime > '2024-06-25 00:00:00' GROUP BY eventSource ORDER BY numOutdatedTlsCalls DESC"
Find who is making calls using outdated TLS versions,Find the callers who used outdated Transport Layer Security (TLS) versions 1.0 and 1.1 within the past week grouped by the number of calls per service.,"SELECT recipientAccountId, year(eventTime) AS year_date, month(eventTime) AS month_date, eventSource, sourceIPAddress, userAgent, userIdentity.arn, userIdentity.accesskeyid, COUNT(*) AS numCalls FROM $EDS_ID WHERE tlsDetails.tlsVersion IN ('TLSv1', 'TLSv1.1') AND eventTime > '2024-06-25 00:00:00' GROUP BY recipientAccountId, year(eventTime), month(eventTime), eventSource, sourceIPAddress, userAgent, userIdentity.arn, userIdentity.accesskeyid ORDER BY COUNT(*) DESC"
Investigate who made console changes,Find users with write permissions who made changes using the console within the past week.,"SELECT userIdentity.arn AS user, eventName, eventTime, awsRegion, requestParameters AS resourceChangedManually FROM $EDS_ID WHERE sessionCredentialFromConsole='true' AND errorCode IS NULL AND eventTime > '2024-06-25 00:00:00'"
Investigate who ran ECS Commands,Find users who logged into the running container and ran commands within the past week.,"SELECT userIdentity.arn AS user, element_at(requestParameters, 'container') AS container, element_at(requestParameters, 'command') AS command, eventTime FROM $EDS_ID WHERE eventSource='ecs.amazon.com' AND eventName='ExecuteCommand' AND eventTime > '2024-06-25 00:00:00'"
Monitor security group changes,Find security group changes made within the past week.,"SELECT eventName, userIdentity.arn AS user, sourceIPAddress, eventTime, element_at(requestParameters, 'groupId') AS securityGroup, element_at(requestParameters, 'ipPermissions') AS ipPermissions FROM $EDS_ID WHERE (element_at(requestParameters, 'groupId') LIKE '%sg-%') AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime ASC"
Monitor security group and network ACL changes,Find all security group and network ACL changes within the past week.,SELECT * FROM $EDS_ID WHERE ((eventName LIKE '%SecurityGroup%' OR eventName LIKE '%NetworkAcl%') AND eventName NOT LIKE 'Describe%') AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime ASC
